username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
BrendanJohnson,"Detroit, Michigan",Joined in Aug 2012,17,14,0,1,[],0,[]
MarYatchi,"Beirut, Lebanon",Joined in Jul 2015,33,12,0,0,[],0,[]
muneshr,"Toronto, Canada",Joined in Dec 2015,1,1,0,0,[],0,[]
majorclatto,"Ladybank, United Kingdom",Joined in Oct 2011,76,63,36,0,[],0,[]
Al-karimK,"Cambridge, United Kingdom",Joined in May 2012,142,95,42,0,[],0,[]
simeons65,"Varna, Bulgaria",Joined in Apr 2014,68,63,20,0,[],0,[]
125katir,,Joined in Mar 2016,4,4,1,0,[],0,[]
1janner,,Joined in Mar 2016,7,7,3,0,[],0,[]
ricaf557,"London, United Kingdom",Joined in Apr 2012,27,24,8,0,[],4,"['Global518811', 'Rafed2010', '231s_nial', 'simonamG1315IE']"
MrsFF,"Edinburgh, United Kingdom",Joined in Feb 2013,18,13,24,0,[],0,[]
Exinal,"Limassol City, Cyprus",Joined in Oct 2009,171,151,64,1,[],0,[]
PaulO1608,,Joined in Oct 2008,2,2,0,0,[],0,[]
RaySmith48,United Kingdom,Joined in Jun 2007,37,37,16,0,[],0,[]
steiul,"Copenhagen, Denmark",Joined in Jan 2011,46,28,9,1,['linalasnordic'],1,[]
PamSco,"Edinburgh, United Kingdom",Joined in Nov 2008,257,87,48,0,[],0,[]
fmandin,"Voreppe, France",Joined in Nov 2008,32,31,10,0,[],0,[]
RudolphL,"Bryansk, Russia",Joined in Apr 2012,179,106,117,1,[],0,[]
pedros49,"Rio Maior, Portugal",Joined in Apr 2013,41,33,12,1,['FabioCarvalhoCosta'],1,[]
Abacus763,"Folkestone, United Kingdom",Joined in Jan 2011,112,93,76,0,[],0,[]
MinouvN,"Northampton, England, United Kingdom",Joined in Aug 2012,38,32,14,0,[],0,[]
510samim,"Edinburgh, United Kingdom",Joined in Apr 2014,14,14,3,0,[],0,[]
861billn,"Aberdeenshire, United Kingdom",Joined in Apr 2012,310,310,129,0,[],0,[]
PhiladelphiaRay,"Philadelphia, Pennsylvania",Joined in Feb 2014,19,19,21,0,[],0,[]
2435Leen,"Zevenhoven, The Netherlands",Joined in Dec 2014,20,20,4,0,[],0,[]
Soren432,"Toronto, Canada",Joined in Aug 2012,4,3,0,0,[],0,[]
759kenc,"Beijing, China",Joined in Mar 2015,298,60,9,0,[],0,[]
LLamps,"Sherwood Park, Canada",Joined in Nov 2011,97,95,46,0,[],0,[]
master1313,"Fiumicino, Italy",Joined in Dec 2013,81,73,53,0,[],0,[]
1_Norwegian_Viking,"Oslo, Norway",Joined in Aug 2012,99,59,10,0,[],3,"['yolondar348', 'audw537', '938pettert']"
mngullik,"Oslo, Norway",Joined in Feb 2014,48,48,14,0,[],0,[]
L3665BYmartinm,"Sydney, Australia",Joined in Feb 2015,66,60,14,0,[],0,[]
